trottoar;Sidewalk;Jag går på trottoaren varje morgon till jobbet.
Oväntad; Unexpected; Det var en oväntad överraskning på min födelsedag
målsägande; plaintiff; Målsägande hävdar att hennes egendom har blivit skadad.
bekräfta; confirm; Kan du bekräfta att du har mottagit mitt email?
övertyga; convince; ag försökte övertyga honom om att det var en dålig idé.
avslöja; expose; Han avslöjade sin hemliga plan för oss.
granskningen; Inspection;Granskningen av dokumenten tog flera timmar.
krånglig; complicated;Instruktionerna var för krångliga för mig att förstå
försiktig; careful; var försiktig när du korsar gatan.
förtvivlad; desperate;Han kände sig förtvivlad efter att ha förlorat jobbet
uteslutet; excluded; Att åka på semester i år är helt uteslutet på grund av pandemin
utredning; investigation;Polisen genomför en utredning om den misstänkta stölden
förändra; change; Vi behöver förändra vårt beteende för att skydda miljön.
uppfatta; perceive;Jag uppfattade inte vad han sa
tävla; compete;Han älskar att tävla i maratonlopp
Besiktiga;inspect;Bilägaren måste besiktiga sin bil varje år
Vraket;wreck;Dykarna hittade vraket på havets botten
Värdera;Evaluate;Jag behöver värdera min bil innan jag kan sälja den
Justerbart; adjustable;Stolen har justerbart ryggstöd för ökad komfort
Axelled;Shoulder joint;Han skadade sin axelled under fotbollsmatchen
Avmätta;Measure off;De avmätta markområdet för det nya huset
Förhållande;Relationship;De har ett bra förhållande trots deras olikheter.

