bekräfta;Confirm
Förra helgen;Last weekend
Smälte;Melted
Bli;Become
Direkt;Directly / Immediately
Pauser;Pauses
Prepositioner;Prepositions
Saker;Things
Upprepa;Repeat
Vara;Our
Studerade;Studied
Rest/Åkt tilbaka;Traveled/gone back
Åka dit;Go there
Ökat;Increased
Små stader;Small cities
I fem år;For five years
Då;Then
Gener;Genes
Ta reda på;Figure out
Sjukdom;Disease
Datorer;Computers
Allihop;Everybody
Centralt;Central
Har vuxit upp där;Have/has grown up there
Sålde;Sold
I skåne;In skåna
Kristianstad; Kristianstad
Liknande;Similar
Menar jag;I mean
Ord;words
Ofta;Often
Senaste veckan;This past week
Artigt;Polite
En promenad;A walk
Vare tvungen;Must
Hälsosamma;Healthy
Kul;Fun, nice, good
Mögliheter;Opportunities
Om du inte;Unless you
Vanliga;Regular
Naturligt;Normal
Eftersom;Because
Överraskad;Surprised
Har lärt mig;Have learnt
På samma gång;At the same time
Sjukhus;Hospital
Betyg;Grades
Skulle kunna tro;Might think
Kallare;Colder
Blåsigt;Windy
Jag brukar;I usually
Än;Than, as in, better than
Vintern;The winter
Pyntat;Decorate
Barnen;The kids
Faktiskt;Actually
Julgran;Christmas tree
Juldekorationer;Christmas decorations
Likna;Reasemble
Julklappar;Christmas gifts
Släkten;All the relatives
Förra året;Last year
Kyrkan;The church
Religion;Religion
Högtidligt;Solemnly/Formally
Dop;Baptism
Döpa;Baptize
Föredra;Prefer
