oviktig;unimportant;Hon ansåg att frågan var oviktig och inte värd att diskutera
utsätta;put to; Barnet blev utsatt för mobbning i skolan. Vi bör undvika att utsätta oss för onödig risk;   Vi kommer att utsätta produkten för olika tester innan den lanseras på marknaden.
aktiemarknaden; stock market; Jag tänker satsa mina pengar på aktiemarknaden
affärside;Business idea;Vi bestämde oss för att satsa på en ny affärsidé
Erkänna;Admit;Han erkände att han hade gjort ett misstag. Hon ville inte erkänna att hon hade fel.
Utveckla;Develop;Företaget har planer på att utveckla en ny produkt. (The company has plans to develop a new product. Han har en talang för att utveckla innovativa lösningar. (He has a talent for developing innovative solutions.
Progressive;progressive; Jag behövde köpa nya glasögon eftersom min syn blev sämre på nära håll, och optikern rekommenderade progressiva glasögon
undvika;Avoid; Vi bör undvika att utsätta oss för onödig risk.Vi undviker att använda engångsplast för att minska vår påverkan på miljön. Vi bör undvika att köra bil när vi är trötta.
noggrant;Carefully; Jag försöker undvika att bli stressad genom att planera min tid noggrant.
leverans;delivery; Jag väntar på en leverans från möbelaffären
Ohållbart;unsustainable; Deras nuvarande produktionssätt är ohållbart i längden
Fordon; Vehicle; Det finns många olika typer av fordon, inklusive bilar, bussar och cyklar.
tillverkad; Made; Den här produkten är tillverkad i Sverige.
undvika;avoid; Vi bör undvika att använda plast i onödan
nödsituation; emergency; Ring 112 i en nödsituation för att få hjälp.
strut; cone; Jag köpte en glass i strut vid kiosken
bägare; cup; Jag köpte en glass i bägare vid kiosken
affisch; poster; Hon rullade upp affischen och satte den i en strut för att skydda den
Tävlan; competition; Är du redo för tävlan?"Jag deltog i en löpartävlan i helgen
beslut; decision;Jag har tagit mitt beslut. Vi väntar på ledningens beslut om framtiden för projektet
Vinst; profit; Företaget rapporterade en stor vinst för det senaste kvartalet. Vår lagets vinst var resultatet av hårt arbete och samarbete.
Upprörande; upsetting; Det är upprörande att se hur mycket mat som slängs varje dag
siffror; figure; Jag har alltid varit bra på att komma ihåg siffror
drygt; roughly; drygt två år
riskabelt; dangerous; Det är riskabelt att investera alla dina pengar i ett enda företag. Att köra för fort är inte bara olagligt, det är också riskabelt." (Driving too fast is not only illegal, it's also risky
Sabbatsår; Efter att ha studerat i fyra år bestämde hon sig för att ta ett sabbatsår och resa runt i världen. Efter att ha studerat i fyra år bestämde hon sig för att ta ett sabbatsår och resa runt i världen.
förbjudet; prohibited; Det är förbjudet att röka inomhus på restaurangen

